demon	d_label	test	start	end	prediction
And the naczelnik shuts his door	his door	This starts in the construction phase through the use of minority contractors and local workers	18	24	phase through the use of minority contractors
One bank stock was a winner	a winner	And he added that manufactured goods exports are still rising	19	16	nan
An assassin in Colombia killed a federal judge on a Medellin street	a federal judge	The government insists that such a possibility is low	27	0	nan
There were no new issues	no new issues	Wall Street traders on Friday had complained about the trading suspensions	7	19	new issues[SEP]Wall Street traders on Friday had complained about the trading
It is hoped that other Japanese would then follow the leader	the leader	The journalistic consensus was that the earthquake made the World Series seem unimportant	16	28	journalistic consensus was that the earthquake made the World Series seem unimportant
It also could convert glucose from farm wastes into edible protein	glucose from farm wastes	This starts in the construction phase through the use of minority contractors and local workers	22	28	phase through the use of minority contractors
But such a combination also presents great risks	great risks	It added that no discussions about such a sale are under way	13	20	added that no discussions about such a sale
And most vacationers still prefer a warm climate for their winter excursions	a warm climate	Revenue doubled from two years ago	21	20	nan
This is a story about suckers	a story about suckers	Shares of the new partnership would trade on an exchange like a stock	17	20	new partnership would trade
Maybe it was their peculiar sense of history	their peculiar sense of history	Florida National said yesterday that it remains committed to the merger	0	0	Maybe
Developers are also eyeing the real estate portfolios of major corporations	the real estate portfolios of major corporations	Rival gangs have turned cities into combat zones	0	28	Developers are also eyeing the real estate portfolios of major corporations[SEP] the real estate portfolios of major corporations[SEP]Rival gangs have turned cities into combat
But the firm has never had a day like yesterday	a day like yesterday	Most of the loans in question are to Third World countries in South America	0	19	But the firm has never had a day like yesterday[SEP] a day like yesterday[SEP]Most of the loans
Traders are already buckling their seat belts	their seat belts	Prices on the Frankfurt Stock Exchange tumbled in heavy trading	1	25	aders are already buckling their seat belts[SEP] their seat belts[SEP]Prices on the Frankfurt Stock Exchange tumbled in heavy trading
Prospective competition is one problem	one problem	The tape was on tv before the night was out	0	0	Pro
Such trappings suggest a glorious past but give no hint of a troubled present	a glorious past	But some saw it as a classic negotiating tactic	18	27	past[SEP]But some saw it as a classic negotiating
Still the Salinger decision created a strong presumption against fair use of unpublished materials	a strong presumption against fair use of unpublished materials	Stocks rose slightly as trading activity slowed from the frenzied pace earlier this week	28	31	rose slightly as trading
Traders can vary their strategies and execute their orders in any one of them	their strategies	He will remain on the Banc One board	25	9	nan
And CenTrust has other problems	other problems	But some saw it as a classic negotiating tactic	0	18	And CenTrust has other problems[SEP] other problems[SEP]But some saw it as a classic negotiating
The resulting stockpiling has depressed the market	the market	That tariff is too stiff for some Financial District wage earners	16	22	stiff for some Financial District wage earners
He visits the same department every two or three weeks	the same department	The talks came as Lebanese negotiations on political changes appeared deadlocked	12	20	same department[SEP]The talks came as Lebanese negotiations
The relative calm in Tokyo proved little comfort to markets opening up in Europe	little comfort to markets opening up in Europe	Soaring rights fees will lead to an even greater clutter of commercials	33	27	nan
The pool invested idle cash for many state agencies and local governments	idle cash	The agreement is subject to completion of a definitive amendment and appropriate approvals	27	28	appropriate approvals
The trust will issue the certificates	the certificates	They talked of the aftermath	0	0	The
Traders attributed the action in them largely to defensive positioning in a volatile market	the action in them	He was back in jail over the summer on shoplifting charges	1	30	aders attributed the action in them largely to defensive positioning in a volatile market[SEP] the action in them[SEP]He was back in jail over the summer on shop
But they are stalwart socialists	stalwart socialists	But transportation officials worry that such extraordinary measures and cooperation may not last	0	20	But they are stalwart socialists[SEP] stalwart socialists[SEP]But transportation officials worry that such extraordinary measures and cooperation
The success of newcomer SsangYong Motor shows the strength of the auto market and its growing diversity	the strength of the auto market and its growing diversity	Fund selling also picked up at that point	37	34	nan
And the naczelnik shuts his door	his door	The trend is making advocates of the tax cut less optimistic about success	22	20	nan
The merger requires the approval of Norwegian authorities	the approval of Norwegian authorities	The centers normally are closed through the weekend	0	20	The merger requires the approval of Norwegian authorities[SEP] the approval of Norwegian authorities[SEP]The centers normally are closed through
Some even see a silver lining in the dark clouds	a silver lining	Neither testified at the previous trials	0	13	Some even see a silver lining in the dark clouds[SEP] a silver lining
Some abortion advocates have been asking themselves this very question	this very question	Alan Murray contributed to this article	0	0	Some
That largely reflects the heavy stockholdings	the heavy stockholdings	The contract also provides for advanced billing and network management services	20	21	advanced billing
He had been vice president in that office	vice president in that office	Two more securities firms bowed to the outcry over program trading	16	25	more securities firms bowed to the outcry over program trading
The true budgetary cost of a credit subsidy is the discounted value of the net costs to government	the discounted value of the net costs to government	They speak volumes about the state of our society at a given moment	27	20	nan
Aussedat Rey is a leading French maker of copying and electronic printing paper	a leading French maker of copying and electronic printing paper	Sonja Steptoe and David Wilson contributed to this article	19	21	maker of copying
Traders are already buckling their seat belts	their seat belts	He is warm and polished before a Puerto Rican Congress in Asbury Park	1	26	aders are already buckling their seat belts[SEP] their seat belts[SEP]He is warm and polished before a Puerto Rican Congress in Asbury
He visits the same department every two or three weeks	the same department	Motorola is in good company	12	15	same department[SEP]Motor
Businessmen took their cue from the engineers	their cue	The Chicago exchanges also are working on such a device	0	0	Business
And transfer control of much of it to Capitol Hill	control of much of it	This leads to a very special sense of urgency	21	25	very special sense of urgency
Traders are already buckling their seat belts	their seat belts	The stock market is certainly not too big for the Fed to handle	1	0	nan
The service supplies weekly reports on school and college construction plans	weekly reports on school and college construction plans	West German bond prices ended lower after a day of aimless trading	26	24	nan
He should chop out both unconstitutional provisions and budget pork	both unconstitutional provisions and budget pork	The dollar weakened against most other major currencies	23	15	nan
Italian President Francesco Cossiga promised a quick investigation into whether Olivetti broke Cocom rules	a quick investigation into whether Olivetti broke Cocom rules	Market conditions point to even lower prices next year	37	38	lower prices
Some observers say that different rules governing stock and futures markets are partly responsible for volatility	stock and futures markets	Craig Torres contributed to this article	4	19	different rules governing stock and futures markets are partly responsible for volatility[SEP] stock and futures
Such armor crushes the soldier	the soldier	The bikes are unwelcome on trails in national parks	0	18	Such armor crushes the soldier[SEP] the soldier[SEP]The bikes are unwelcome on trails in national parks
Maybe it was their peculiar sense of history	their peculiar sense of history	Some found it on the screen of a personal computer	0	0	Maybe
The company outpaced much of the chemical industry as annual profit grew fivefold in two years	much of the chemical industry	Neither testified at the previous trials	19	11	nan
The West Germans then took over and finally found Markus Hess	Markus Hess	The lawyers are now in charge of our national security	22	24	our national security
Some even see a silver lining in the dark clouds	a silver lining	But both the traders and the pilots remain interested in some transaction	21	26	pilots remain interested in some transaction
Alan Reynolds of Polyconomics adds his suspicion that the unrecognized inflationary culprit is the budget surplus	his suspicion that the unrecognized inflationary culprit is the budget surplus	The board will be made up of seven directors of each holding company	40	33	nan
State loan guarantees are rarely a source of controversy	a source of controversy	But critics consider the changes regressive	0	0	State
The closely watched funds rate is what banks charge each other on overnight loans	each other	Compound yields assume reinvestment of dividends and that current yields continue for a year	16	25	other[SEP]Compound yields assume reinvestment of dividends
And Seita is considering further diversification	further diversification	The Old Crowd is deeply concerned by the backlash from all this	9	21	further diversification[SEP]The Old Crowd is deeply concerned by the backlash
The British government also strongly opposes the charter in its current form	the charter in its current form	This pattern was particularly evident among more highly educated couples	26	0	nan
The company cited sales gains at its Milton Bradley and Playskool units and in its international business for the increase in revenue	sales gains at its Milton Bradley and Playskool units and in its international business	The mask cuts to the quick	21	25	increase in revenue[SEP] sales
Americans may not be so lucky the next time	the next time	His interest in the natural environment dates from his youth	11	20	next time[SEP]His interest in the natural environment dates
The trust will issue the certificates	the certificates	And taxpayer groups are urging legislation in many other states	18	0	nan
Integrated made its announcement after the market closed	its announcement	No such statement appears on the tapes	0	0	Integ
The figures occasionally include incomplete transactions in restricted stock	incomplete transactions in restricted stock	The trial begins today in federal court in Philadelphia	21	11	nan
He visits the same department every two or three weeks	the same department	Some would make even James Bond green with envy	21	1	nan
He visits the same department every two or three weeks	the same department	Unease is widespread among exchange members	12	1	nan
Nguyen Van Chan is living proof that old ways die hard	living proof that old ways die hard	But the two countries remain separated by a cultural barrier wider than the ocean	31	0	nan
The House bill also distorts economic efficiency in all sorts of perverse ways	economic efficiency	That is for the future	22	16	nan
He is our most dangerous enemy	our most dangerous enemy	Stock prices slipped lower in moderate trading	15	18	lower in moderate trading
The company attributed much of the growth in earnings to increased demand for its systems productivity software	much of the growth in earnings	Stock prices edged up in quiet trading Friday	10	26	increased demand for its systems productivity software[SEP] much of the growth in earnings[SEP]Stock prices
It also will hand Unilab new markets	new markets	Not only Californians but all Americans would pay if this thing passed	10	25	new markets[SEP]Not only Californians but all Americans would pay if this thing passed
Traders attributed the action in them largely to defensive positioning in a volatile market	the action in them	The battle for customer loyalty is evident along the Cobb Parkway strip	1	24	aders attributed the action in them largely to defensive positioning in a volatile market[SEP] the action in them[SEP]The battle for customer
Foreign auto makers are taking the Tokyo Motor Show more seriously than ever	the Tokyo Motor Show	It also found them rising much more in the Northeast than elsewhere	23	0	nan
It was a Friday in June	a Friday in June	Both firms are in New York	0	0	It
But such a combination also presents great risks	great risks	The great silver clouds on the horizon build themselves on the pale water	23	0	nan
The heavy buying in the last half hour led the specialists to take special steps	special steps	The current ruble rate has long been out of line with the black market	23	33	rate has long been out of line with the black market
Nguyen Van Chan is living proof that old ways die hard	living proof that old ways die hard	But some saw it as a classic negotiating tactic	16	28	old ways die hard[SEP]But some saw it as a classic negotiating
The British economy is hardly the picture of health these days	the picture of health	The dollar rose against the Swiss and French francs	19	0	nan
Both Merieux and Connaught are biotechnology research and vaccine manufacturing concerns	biotechnology research and vaccine manufacturing concerns	The economic ideas in the document are much bolder than current policies	31	21	nan
That theme has been a recurring one for Soviet military officials for much of this year	a recurring one	It was all over the place	12	0	nan
The West Germans then took over and finally found Markus Hess	Markus Hess	But that was all of three months ago	20	21	three months
The Bakersfield Supermarket went out of business last May	last May	The dollar finished at its intraday highs	24	24	highs
He sees a psychoanalyst five mornings a week	a psychoanalyst	The appeals court disagreed on both counts	14	22	alyst[SEP]The appeals court disagreed on both counts
Expansion plans also include acquisitions in growing foreign markets	acquisitions in growing foreign markets	Craig Forman in London contributed to this article	0	11	Expansion plans also include acquisitions in growing foreign markets[SEP] acquisitions
The closely watched funds rate is what banks charge each other on overnight loans	each other	The Chicago exchanges also are working on such a device	16	20	other[SEP]The Chicago exchanges
This is not the case	the case	That figure has been inching up for several years	15	0	nan
Traders attributed the action in them largely to defensive positioning in a volatile market	the action in them	And most of us waited for a while for the game to start	25	0	nan
Judges will write the real bill as suits roll through the courts	the real bill	The reality is that Bank finances are rock solid	25	23	nan
The company cited sales gains at its Milton Bradley and Playskool units and in its international business for the increase in revenue	sales gains at its Milton Bradley and Playskool units and in its international business	This of course led to disaster in New York City	21	25	increase in revenue[SEP] sales
And most vacationers still prefer a warm climate for their winter excursions	a warm climate	Buyers stepped in to the futures pit	21	19	nan
Lackluster returns are one reason	one reason	Wang got into financial trouble because of bloated overhead and overly optimistic sales forecasts	24	24	sales
The failed rights issue also should have a modest impact on British Air shares	a modest impact on British Air shares	Each company worries that the other is becoming too powerful and too vertically integrated	28	21	nan
It also could convert glucose from farm wastes into edible protein	glucose from farm wastes	These securities are attractive to Japanese investors for three reasons	18	23	securities are attractive to Japanese investors
The third principal in the South Gardens adventure did have garden experience	garden experience	The company can go about its business	0	22	The third principal in the South Gardens adventure did have garden experience[SEP] garden experience[SEP]The company can go about its business
And most vacationers still prefer a warm climate for their winter excursions	a warm climate	Bond prices were little changed in sluggish activity	24	21	nan
Still the Salinger decision created a strong presumption against fair use of unpublished materials	a strong presumption against fair use of unpublished materials	The expansion is subject to approval by federal and Wisconsin environmental regulators	33	31	nan
Another poked a hole in the heel of his shoe	a hole	The tape was on tv before the night was out	0	18	Another poked a hole in the heel of his shoe[SEP] a hole[SEP]The tape was on tv
Most will stay open late Saturday night and open their doors again Sunday	Saturday night	This has led them in a fruitless and destructive policy circle	0	26	Most will stay open late Saturday night and open their doors again Sunday[SEP] Saturday night[SEP]This has led them in a fruitless and destructive
The executive branch bears the first responsibility for timidity	the first responsibility for timidity	Craig Torres contributed to this article	0	16	The executive branch bears the first responsibility for timidity[SEP] the first responsibility for timidity
The relative calm in Tokyo proved little comfort to markets opening up in Europe	little comfort to markets opening up in Europe	Abbie lies back and leaves the frame empty	20	26	up in Europe[SEP]Abbie lies
It was a Friday in June	a Friday in June	The East German economy is strong compared with other East bloc nations	20	0	nan
State loan guarantees are rarely a source of controversy	a source of controversy	The tape was on tv before the night was out	19	0	nan
The Northeast has been holding its own in the population race	its own	The current ruble rate has long been out of line with the black market	19	29	rate has long been out of line with the black market
Traders attributed the action in them largely to defensive positioning in a volatile market	the action in them	But the two countries remain separated by a cultural barrier wider than the ocean	31	0	nan
Merck is one of the most important stocks in the Major Market Index	one of the most important stocks in the Major Market Index	The journalistic consensus was that the earthquake made the World Series seem unimportant	28	0	nan
The trust will issue the certificates	the certificates	Those viewers find the show confusing	0	0	The
Magazine publishers are facing spiraling costs and a glut of new titles	spiraling costs and a glut of new titles	And the successful son wishes his embarrassing siblings dead	21	22	new titles
The British government also strongly opposes the charter in its current form	the charter in its current form	Abbie lies back and leaves the frame empty	0	22	The British government also strongly opposes the charter in its current form[SEP] the charter in its current form[SEP]Abbie lies
Such trappings suggest a glorious past but give no hint of a troubled present	a glorious past	Stock prices rallied in active trading	18	21	past[SEP]Stock prices
But such a combination also presents great risks	great risks	His hands sit farther apart on the keyboard	15	0	nan
Such trappings suggest a glorious past but give no hint of a troubled present	a glorious past	Democrats had been negotiating with some Republican congressional leaders on a compromise lately	18	23	past[SEP]Democrats had been negotiating
Some industry groups consistently weather the storm better than others	the storm	But most lawyers accept that the marketplace has spoken	7	20	better than others[SEP] the storm[SEP]But most lawyers accept that the marketplace
Maybe it was their peculiar sense of history	their peculiar sense of history	At least half that growth will have come in the past three years alone	25	27	past three years
The heavy buying in the last half hour led the specialists to take special steps	special steps	Rents have soared along with house prices	22	26	soared along with house prices
The company outpaced much of the chemical industry as annual profit grew fivefold in two years	much of the chemical industry	Only a few books fell in the reading room	19	11	nan
The trust will issue the certificates	the certificates	Abortion via the pill is far more of an ordeal than conventional surgical abortion	17	11	nan
Both Merieux and Connaught are biotechnology research and vaccine manufacturing concerns	biotechnology research and vaccine manufacturing concerns	The inquiry soon focused on the judge	30	21	nan
These revised figures also may explain some of the recent strength of the dollar	some of the recent strength of the dollar	The New York company called the lawsuit without merit	32	27	nan
He sees a psychoanalyst five mornings a week	a psychoanalyst	Two workers died and six remain in the hospital	14	0	nan
Aussedat Rey is a leading French maker of copying and electronic printing paper	a leading French maker of copying and electronic printing paper	Everyone falls in love with everyone else	30	21	nan
The relative calm in Tokyo proved little comfort to markets opening up in Europe	little comfort to markets opening up in Europe	Stock prices rallied in active trading	20	25	up in Europe[SEP]Stock prices
He should chop out both unconstitutional provisions and budget pork	both unconstitutional provisions and budget pork	But he has been getting heat from all sides over program trading	0	29	He should chop out both unconstitutional provisions and budget pork[SEP] both unconstitutional provisions and budget pork[SEP]But he has been getting heat from all sides over program trading
But the shortages also spawned rampant speculation and spiraling prices	rampant speculation and spiraling prices	The trial begins today in federal court in Philadelphia	24	17	nan
Integrated made its announcement after the market closed	its announcement	The talks came as Lebanese negotiations on political changes appeared deadlocked	23	18	nan
Magazine publishers are facing spiraling costs and a glut of new titles	spiraling costs and a glut of new titles	But some saw it as a classic negotiating tactic	21	22	new titles
Other gainers were companies with one or more undamaged California refineries	companies with one or more undamaged California refineries	The board expands to seven members	20	16	nan
There were no new issues	no new issues	The mask cuts to the quick	7	0	nan
Magazine publishers are facing spiraling costs and a glut of new titles	spiraling costs and a glut of new titles	It was down a little	21	22	new titles
Arm troubles forced him back to the minors the next year	the next year	West German bond prices ended lower after a day of aimless trading	21	19	nan
He hit the lanes three years ago on the advice of his doctor	the lanes	Paris loved her at first sight	18	15	nan
Total return is price changes plus interest income	price changes plus interest income	Inco shares fell after the announcements	0	21	Total return is price changes plus interest income[SEP] price changes plus interest income[SEP]Inco shares fell after the announcements
He is our most dangerous enemy	our most dangerous enemy	Corn futures prices rose slightly while wheat prices settled mixed	15	19	rose slightly while wheat prices
Van Nghe quickly made influential enemies	influential enemies	Stock prices slipped lower in moderate trading	14	17	lower in moderate trading
He sees a psychoanalyst five mornings a week	a psychoanalyst	Demand will come first from programming production companies and then from television stations	28	23	nan
These revised figures also may explain some of the recent strength of the dollar	some of the recent strength of the dollar	But transportation officials worry that such extraordinary measures and cooperation may not last	22	33	dollar[SEP]But transportation officials worry that such extraordinary measures and cooperation
Aussedat Rey is a leading French maker of copying and electronic printing paper	a leading French maker of copying and electronic printing paper	The trial begins today in federal court in Philadelphia	32	21	nan
It also inevitably leaves a residue of shareholder lawsuits	a residue of shareholder lawsuits	Bond prices were little changed in sluggish activity	21	18	nan
Nissan will introduce a completely revamped Sentra next fall	a completely revamped Sentra	Even some House Banking Committee members could suffer from the fallout	28	21	nan
That largely reflects the heavy stockholdings	the heavy stockholdings	Most sleep on the floor	0	0	That
President Bush signed a disaster declaration covering seven Northern California counties	a disaster declaration covering seven Northern California counties	Michael Applebaum resigned after less than a year in the posts	26	24	nan
The infusion of activists can bring a clash of cultures	a clash of cultures	But trading risk stems from credit risk	0	17	The infusion of activists can bring a clash of cultures[SEP] a clash of cultures[SEP]But trading
Time magazine executives predictably paint the circulation cut as a show of strength and actually a benefit to advertisers	the circulation cut	Small business is bracing for an avalanche of similar proposals next year	33	25	nan
Labor problems top the list	the list	Japanese government bonds ended lower after the dollar rose modestly against the yen	13	0	nan
This is a story about suckers	a story about suckers	This is partly due to the particular demands of the crop	24	0	nan
He is our most dangerous enemy	our most dangerous enemy	This of course led to disaster in New York City	19	17	nan
He is our most dangerous enemy	our most dangerous enemy	Solidarity wants it from the West	13	12	nan
She was the child of relative privilege	the child of relative privilege	Stocks rose slightly as trading activity slowed from the frenzied pace earlier this week	28	19	nan
Other furriers have also placed more weight on retailing	more weight	The lonely woman walks on in the direction of the Plaza de Alonso Martinez	12	27	more weight[SEP]The lonely woman walks on in the direction of the Plaza de Alonso
He should chop out both unconstitutional provisions and budget pork	both unconstitutional provisions and budget pork	Corn futures prices rose slightly while wheat prices settled mixed	21	25	rose slightly while wheat prices
The House bill also distorts economic efficiency in all sorts of perverse ways	economic efficiency	Stock prices edged up in quiet trading Friday	21	19	nan
One bank stock was a winner	a winner	Some are even coming up with their own novel designs	14	19	up with their own novel designs
The heavy buying in the last half hour led the specialists to take special steps	special steps	Buyers stepped in to the futures pit	21	19	nan
He had been vice president in that office	vice president in that office	But they are also talking about new magazines	21	22	new magazines
No sophisticated professional expects economists to be right all the time	all the time	Bob Stone stewed over a letter from his manager putting him on probation for insubordination	32	31	nan
Businessmen took their cue from the engineers	their cue	We go from one to the other	18	0	nan
It has more drug users than Boston has people	more drug users than Boston has people	The latest rebate is good for all Beretta models	10	20	more drug users than Boston has people[SEP]The latest rebate
Judges will write the real bill as suits roll through the courts	the real bill	The joke here is that the Giants lost by de fault	0	25	Judges will write the real bill as suits roll through the courts[SEP] the real bill[SEP]The joke here is that the Giants lost
The complicated language in the huge new law has muddied the fight	the fight	Peter Gumbel in Moscow contributed to this article	21	0	nan
New telephone lines posted healthy growth	healthy growth	The dollar rose against the Swiss and French francs	12	0	nan
But the firm also tracks smaller technology companies as a subset of the larger group	smaller technology companies	Compound yields assume reinvestment of dividends and that current yields continue for a year	16	27	smaller technology companies[SEP]Compound yields assume reinvestment of dividends
It also could convert glucose from farm wastes into edible protein	glucose from farm wastes	We think that the ratings revision is unfortunate but not unexpected	21	21	ratings
The executive branch bears the first responsibility for timidity	the first responsibility for timidity	But attendance is down from previous years	23	19	nan
But Trelleborg still must clear some tough hurdles	some tough hurdles	Compound yields assume reinvestment of dividends and that current yields continue for a year	26	23	nan
Such trappings suggest a glorious past but give no hint of a troubled present	a glorious past	The dollar finished at its intraday highs	28	28	highs
Italian President Francesco Cossiga promised a quick investigation into whether Olivetti broke Cocom rules	a quick investigation into whether Olivetti broke Cocom rules	He does this in at least three of his solo pieces	37	28	nan
The merger requires the approval of Norwegian authorities	the approval of Norwegian authorities	Many called it simply a contrast in styles	0	22	The merger requires the approval of Norwegian authorities[SEP] the approval of Norwegian authorities[SEP]Many called it simply a contrast in styles
The egg producers also lobbied the Food and Drug Administration	the Food and Drug Administration	Corn futures prices rose slightly while wheat prices settled mixed	20	24	rose slightly while wheat prices
Labor problems top the list	the list	No one has alleged that the donations were by themselves illegal	0	15	Labor problems top the list[SEP] the list[SEP]No one has alleged that the donations
Hostile takeovers are quite a new phenomenon	quite a new phenomenon	Many economists expect the weakness to continue	12	0	nan
The company outpaced much of the chemical industry as annual profit grew fivefold in two years	much of the chemical industry	Two more securities firms bowed to the outcry over program trading	26	35	more securities firms bowed to the outcry over program trading
The pool invested idle cash for many state agencies and local governments	idle cash	Borrowed shares on the Amex rose to another record	24	14	nan
Merck is one of the most important stocks in the Major Market Index	one of the most important stocks in the Major Market Index	We were coming down straight into their canal	31	31	straight
Then he would move his movement to Europe	his movement	Speculation about a takeover fight has sent Jaguar shares soaring in the past six weeks	22	20	nan
Van Nghe quickly made influential enemies	influential enemies	Soaring rights fees will lead to an even greater clutter of commercials	20	23	greater clutter of commercials
Banks may contribute more senior debt	more senior debt	The East German economy is strong compared with other East bloc nations	8	0	nan
Fog shrouded the base before touchdown	the base	The carriers were competing fiercely for market share	1	0	nan
He sees a psychoanalyst five mornings a week	a psychoanalyst	We cruise toward another set of pilings	19	0	nan
The closely watched funds rate is what banks charge each other on overnight loans	each other	Yet the bill is riding high on the furor over drug trafficking	23	30	high on the furor over drug trafficking
It has more drug users than Boston has people	more drug users than Boston has people	His hands sit farther apart on the keyboard	21	12	nan
Both Merieux and Connaught are biotechnology research and vaccine manufacturing concerns	biotechnology research and vaccine manufacturing concerns	Some economists found the mixture ominous	0	21	Both Merieux and Connaught are biotechnology research and vaccine manufacturing concerns[SEP] biotechnology research and vaccine manufacturing
This will give Paribas and Lonrho joint control of Societe Commerciale	Paribas and Lonrho	The economic ideas in the document are much bolder than current policies	34	39	much bolder than current policies
Nobody has any credible estimate	any credible estimate	Breeders are betting on the common folk	17	14	nan
There were no new issues	no new issues	Democrats had been negotiating with some Republican congressional leaders on a compromise lately	7	13	new issues[SEP]Democrats had been negotiating
But such a combination also presents great risks	great risks	The dollar gained against most foreign currencies	17	18	foreign currencies
It has more drug users than Boston has people	more drug users than Boston has people	The dollar weakened against most other major currencies	10	25	more drug users than Boston has people[SEP]The dollar weakened against most other major currencies
The dispute was the subject of a Wall Street Journal article in August	the subject of a Wall Street Journal article in August	Craig Torres contributed to this article	26	26	Torres
This is not the case	the case	But funds generally are better prepared this time around	13	0	nan
He sees a psychoanalyst five mornings a week	a psychoanalyst	They lied to me on the recruiting trip	14	22	alyst[SEP]They lied to me on the recruiting
Nashua announced the Reiss request after the market closed	the Reiss request	He does this in at least three of his solo pieces	27	27	solo
The House bill also distorts economic efficiency in all sorts of perverse ways	economic efficiency	The investors range from elderly widows to affluent professionals	23	19	nan
Merck is one of the most important stocks in the Major Market Index	one of the most important stocks in the Major Market Index	But industry observers still questioned whether Georgia Pacific will ultimately prevail	37	28	nan
They have about seven candidates	about seven candidates	The New York company called the lawsuit without merit	18	0	nan
Both executives left the company after clashes with Chairman Ralph Ingersoll Jr	the company	The interviews took place two years ago	0	19	Both executives left the company after clashes with Chairman Ralph Ingersoll Jr[SEP] the company[SEP]The interviews
Judges will write the real bill as suits roll through the courts	the real bill	But they are also talking about new magazines	24	25	new magazines
The company attributed much of the growth in earnings to increased demand for its systems productivity software	much of the growth in earnings	For months the resistance has been defenseless against air attack	10	23	increased demand for its systems productivity software[SEP] much of the growth in earnings
Some even see a silver lining in the dark clouds	a silver lining	Portrait studios have also latched onto the trend	22	22	onto
The Bakersfield Supermarket went out of business last May	last May	The appeals court disagreed on both counts	0	22	The Bakersfield Supermarket went out of business last May[SEP] last May[SEP]The appeals court disagreed on both counts
Athena eventually acquired exclusive rights to the technology and currently is developing it	exclusive rights to the technology	Craig Torres and Anne Newman contributed to this article	26	23	nan
The heavy buying in the last half hour led the specialists to take special steps	special steps	The inquiry soon focused on the judge	25	2	nan
The figures occasionally include incomplete transactions in restricted stock	incomplete transactions in restricted stock	But some saw it as a classic negotiating tactic	0	11	The figures occasionally include incomplete transactions in restricted stock[SEP] incomplete transactions
Foreign auto makers are taking the Tokyo Motor Show more seriously than ever	the Tokyo Motor Show	His credibility is also on the line in the investment community	9	28	more seriously than ever[SEP] the Tokyo Motor Show[SEP]His credibility is also on the line in the investment
The Northeast has been holding its own in the population race	its own	Even some House Banking Committee members could suffer from the fallout	25	18	nan
New telephone lines posted healthy growth	healthy growth	Moscow and Kabul must have found that information useful	12	0	nan
But Trelleborg still must clear some tough hurdles	some tough hurdles	Reform starts in the Pentagon	0	0	But
No sophisticated professional expects economists to be right all the time	all the time	His hands sit farther apart on the keyboard	19	0	nan
There were no major Eurobond or foreign bond offerings in Europe Friday	no major Eurobond or foreign bond offerings	Both firms are in New York	29	23	nan
Now at least one Japanese company is turning the courtroom tables	the courtroom tables	But you know about campaign promises	0	21	Now at least one Japanese company is turning the courtroom tables[SEP] the courtroom tables[SEP]But you know about campaign promises
He said that the research team had no financial stake in the drug	no financial stake in the drug	This is partly due to the particular demands of the crop	16	24	stake in the drug[SEP]This is partly due
The heavy buying in the last half hour led the specialists to take special steps	special steps	Solidarity wants it from the West	20	19	nan
They note that stocks experienced volatile swings long before futures	volatile swings	But the two countries remain separated by a cultural barrier wider than the ocean	24	0	nan
There were no new issues	no new issues	Some found it on the screen of a personal computer	7	0	nan
But weak car sales raise questions about future demand from the auto sector	questions about future demand from the auto sector	His hands sit farther apart on the keyboard	26	3	nan
Maybe it was their peculiar sense of history	their peculiar sense of history	The problem is not that the Fed is too unresponsive to the public interest	28	25	nan
Athena eventually acquired exclusive rights to the technology and currently is developing it	exclusive rights to the technology	Business was slow because many companies were closed yesterday	24	22	nan
He said that the research team had no financial stake in the drug	no financial stake in the drug	Surveys suggested that consumer confidence was high before Friday	29	26	nan
It also could convert glucose from farm wastes into edible protein	glucose from farm wastes	And his outlook improved after successful cataract surgery in August	20	0	nan
That largely reflects the heavy stockholdings	the heavy stockholdings	It was all over the place	0	0	That
He previously held posts of senior vice president of compliance and senior vice president and general counsel	posts of senior vice president of compliance and senior vice president and general counsel	Two more securities firms bowed to the outcry over program trading	34	24	nan
Arm troubles forced him back to the minors the next year	the next year	Breeders are betting on the common folk	23	20	nan
Her story is becoming part of local folklore	part of local folklore	The post had been vacant for more than a year	20	0	nan
The relative calm in Tokyo proved little comfort to markets opening up in Europe	little comfort to markets opening up in Europe	Merchant banks were stronger across the board	28	24	nan
The suit seeks unspecified damages	unspecified damages	It was down a little	0	0	The
She was the child of relative privilege	the child of relative privilege	The Chicago exchanges also are working on such a device	11	16	relative privilege[SEP]The Chicago exchanges
Expansion plans also include acquisitions in growing foreign markets	acquisitions in growing foreign markets	Sometimes repairs are out of the question	0	18	Expansion plans also include acquisitions in growing foreign markets[SEP] acquisitions in growing foreign markets[SEP]Sometimes repairs
They are awaiting an arbitration proceeding	an arbitration proceeding	Tom Herman contributed to this article	0	0	They
But Trelleborg still must clear some tough hurdles	some tough hurdles	It also adds to the mystery of the venture	21	24	mystery of the venture
He had been vice president in that office	vice president in that office	Demand will come first from programming production companies and then from television stations	27	22	nan
This is not the case	the case	The most popular such shows focus on narrow national concerns	16	0	nan
The House version of the bill does include the tax cut	the tax cut	The contract also provides for advanced billing and network management services	21	22	advanced billing
And the naczelnik shuts his door	his door	The carriers were competing fiercely for market share	16	20	competing fiercely for market share
Italian President Francesco Cossiga promised a quick investigation into whether Olivetti broke Cocom rules	a quick investigation into whether Olivetti broke Cocom rules	This leads to a very special sense of urgency	33	33	leads
