demon	d_label	d_deleted	d_node	d_parent	test	t_label	t_deleted	start	t_node	t_parent
Yet these figures show only the most visible part of the problem	Yet these figures show	only the most visible part of the problem	NP-D2-N4	VP-D1-N2	The state can also bar Drexel as an investment adviser	The state can also bar Drexel as	an investment adviser	7	NP-D4-N2	VP-D2-N4
The egg producers also lobbied the Food and Drug Administration	The egg producers also lobbied	the Food and Drug Administration	NP-D2-N5	VP-D1-N2	The mining zone has thus remained one of the most desolate places in Africa	The mining zone has thus remained	one of the most desolate places in Africa	6	NP-D3-N2	VP-D2-N5
This may sound strangely optimistic	This may sound	strangely optimistic	ADJP-D3-N1	VP-D2-N2	The result is that the unthinkable and illogical are happening	The result is that the are happening	unthinkable and illogical	5	ADJP-D5-N1	VP-D1-N1
But then the noise turned into a roar	But then the noise turned into	a roar	NP-D3-N1	PP-D2-N4	Lawyers remain divided about whether anything is wrong with all this	Lawyers remain divided about whether anything is wrong with	all this	9	NP-D9-N1	PP-D8-N1
But the firm also tracks smaller technology companies as a subset of the larger group	But the firm also tracks smaller technology companies as a subset of	the larger group	NP-D5-N3	PP-D4-N1	The merger is subject to regulatory clearance and a definitive agreement	The merger is subject to	regulatory clearance and a definitive agreement	5	NP-D4-N1	PP-D3-N1
Other network applications have very different goals	Other network applications have goals	very different	ADJP-D3-N0	NP-D2-N4	The most popular such shows focus on narrow national concerns	The such shows focus on narrow national concerns	most popular	1	ADJP-D2-N1	NP-D1-N0
An additional benefit is the creation of jobs	An additional benefit is	the creation of jobs	NP-D2-N4	VP-D1-N1	The lack of any new cash probably would still leave the banks dissatisfied	The lack of any new cash probably would still leave dissatisfied	the banks	10	NP-D4-N3	VP-D2-N5
The new exchange drew instant recognition from an unwelcome quarter	The new exchange drew instant recognition	from an unwelcome quarter	PP-D2-N5	VP-D1-N1	Some equipment going to work is almost new	Some equipment going is almost new	to work	3	PP-D3-N3	VP-D2-N1
Kitchen full of broken crystal	Kitchen full of	broken crystal	NP-D3-N1	PP-D2-N2	Chandler might have been predicting the course of his own career	Chandler might have been predicting the course of	his own career	8	NP-D7-N3	PP-D6-N1
Manufacturers Hanover had a loss due to a big reserve addition	Manufacturers Hanover had a loss	due to a big reserve addition	ADJP-D3-N1	NP-D2-N3	He is our most dangerous enemy	He is our enemy	most dangerous	3	ADJP-D3-N1	NP-D2-N2
The third principal in the South Gardens adventure did have garden experience	The third principal in did have garden experience	the South Gardens adventure	NP-D3-N4	PP-D2-N1	But markets can operate with greater or lesser efficiency	But markets can operate with	greater or lesser efficiency	5	NP-D4-N1	PP-D3-N1
But markets can operate with greater or lesser efficiency	But markets can operate with efficiency	greater or lesser	ADJP-D5-N0	NP-D4-N1	Wang got into financial trouble because of bloated overhead and overly optimistic sales forecasts	Wang got into financial trouble because of bloated overhead and sales forecasts	overly optimistic	10	ADJP-D5-N2	NP-D4-N4
This leads to a very special sense of urgency	This leads to a sense of urgency	very special	ADJP-D5-N1	NP-D4-N0	The most common conflict involves compensation	The conflict involves compensation	most common	1	ADJP-D2-N1	NP-D1-N0
They do indeed want their own nation	They do indeed want	their own nation	NP-D3-N2	VP-D2-N3	He is negotiating a rich book contract to boot	He is negotiating to boot	a rich book contract	3	NP-D3-N1	VP-D2-N2
None of these chief executives were available for comment	None of were available for comment	these chief executives	NP-D3-N2	PP-D2-N1	The legal fight was the subject of a Wall Street Journal story yesterday	The legal fight was the subject of	a Wall Street Journal story yesterday	7	NP-D4-N3	PP-D3-N1
The result is a new and huge appetite for programming	The result is a new and huge appetite	for programming	PP-D3-N1	NP-D2-N3	Ads for England are artsy and irreverent	Ads are artsy and irreverent	for England	1	PP-D2-N1	NP-D1-N0
His credentials are excellent for the task	His credentials are excellent for	the task	NP-D3-N2	PP-D2-N4	The company also faces delisting by the National Association of Securities Dealers	The company also faces delisting by	the National Association of Securities Dealers	6	NP-D4-N2	PP-D3-N1
Futures prices showed modest changes in light trading volume	Futures prices showed modest changes	in light trading volume	PP-D2-N4	VP-D1-N1	It also could convert glucose from farm wastes into edible protein	It also could convert glucose into edible protein	from farm wastes	5	PP-D4-N1	VP-D2-N3
The small changes in averages reflect generally unchanged yields at many major banks	The small changes in averages reflect generally unchanged yields	at many major banks	PP-D3-N6	NP-D2-N3	The appointments are part of a planned succession at the company	The appointments are part	of a planned succession at the company	4	PP-D3-N1	NP-D2-N3
But another big problem has been the aging of baby boomers	But another big problem has been the aging of	baby boomers	NP-D5-N3	PP-D4-N1	Dow Jones is the publisher of The Wall Street Journal	Dow Jones is the publisher of	The Wall Street Journal	6	NP-D4-N3	PP-D3-N1
The third principal in the South Gardens adventure did have garden experience	The third principal did have garden experience	in the South Gardens adventure	PP-D2-N1	NP-D1-N0	The House version of the bill does include the tax cut	The House version does include the tax cut	of the bill	3	PP-D2-N1	NP-D1-N0
But junk bonds took more hits	But junk bonds took	more hits	NP-D2-N3	VP-D1-N2	The agreement is subject to government approval	The agreement is subject to	government approval	5	NP-D4-N1	VP-D1-N1
The figures are at seasonally adjusted annual rates in trillions of dollars	The figures are	at seasonally adjusted annual rates in trillions of dollars	PP-D2-N3	VP-D1-N1	Civil suits against planners by clients seeking recovery of funds are increasingly common	Civil suits against planners by clients seeking recovery are increasingly common	of funds	8	PP-D6-N1	VP-D4-N2
Only a few books fell in the reading room	Only a few books fell in	the reading room	NP-D3-N4	PP-D2-N3	The White House warned that this would be an unconstitutional usurpation of its power	The White House warned that this would be an unconstitutional usurpation of	its power	12	NP-D8-N4	PP-D7-N1
Portrait studios have also latched onto the trend	Portrait studios have also latched onto	the trend	NP-D4-N1	PP-D3-N2	Tokyo stocks rebounded Tuesday from two consecutive daily losses in relatively active dealings	Tokyo stocks rebounded Tuesday from in relatively active dealings	two consecutive daily losses	5	NP-D3-N2	PP-D2-N4
No such statement appears on the tapes	No such statement appears	on the tapes	PP-D2-N4	VP-D1-N1	The finance unit attributed the decline to higher borrowing costs compared with a year earlier	The finance unit attributed the decline	to higher borrowing costs compared with a year earlier	6	PP-D2-N5	VP-D1-N1
Borrowed shares on the Amex rose to another record	Borrowed shares rose to another record	on the Amex	PP-D2-N1	NP-D1-N0	The prospect of such a takeover fight has sent Jaguar shares soaring in recent weeks	The prospect has sent Jaguar shares soaring in recent weeks	of such a takeover fight	2	PP-D2-N1	NP-D1-N0
And traders say that futures have become an accepted part of the financial landscape	And traders say that futures have become an accepted part of	the financial landscape	NP-D8-N4	PP-D7-N1	None of these chief executives were available for comment	None of were available for comment	these chief executives	2	NP-D3-N2	PP-D2-N1
The Marina rescue center offered a very San Franciscan response to the disaster	The Marina rescue center offered a very San Franciscan response	to the disaster	PP-D3-N1	NP-D2-N5	Some funds are posting yields far higher than the average	Some funds are posting yields far higher	than the average	7	PP-D5-N2	NP-D3-N1
These people have different agendas	These people have	different agendas	NP-D2-N3	VP-D1-N1	Poland makes no machinery for a plant on that scale	Poland makes	no machinery for a plant on that scale	2	NP-D2-N2	VP-D1-N1
Ideologues on the other side of the border can also slow the process	Ideologues on can also slow the process	the other side of the border	NP-D3-N2	PP-D2-N1	That tariff is too stiff for some Financial District wage earners	That tariff is too stiff for	some Financial District wage earners	6	NP-D3-N3	PP-D2-N4
The trend is making advocates of the tax cut less optimistic about success	The trend is making advocates less optimistic about success	of the tax cut	PP-D5-N1	NP-D4-N0	The bill would authorize courts to order the licenses as a condition of probation	The bill would authorize courts to order the licenses as a condition	of probation	12	PP-D8-N1	NP-D7-N3
The senators responded in kind	The senators responded	in kind	PP-D2-N3	VP-D1-N1	Both companies will replace the oil filler cap with a ventilated oil filler cap	Both companies will replace the oil filler cap	with a ventilated oil filler cap	8	PP-D3-N2	VP-D2-N3
The Bakersfield Supermarket went out of business last May	The Bakersfield Supermarket went out of business	last May	NP-D2-N5	VP-D1-N1	The dispute pits two groups of claimants against each other	The dispute pits against each other	two groups of claimants	3	NP-D2-N3	VP-D1-N1
Ashland had a loss	Ashland had	a loss	NP-D2-N2	VP-D1-N1	Other money managers also opened their wallets	Other money managers also opened	their wallets	5	NP-D2-N5	VP-D1-N2
The House Energy Committee will debate the issue later this month	The House Energy Committee will debate the issue	later this month	NP-D3-N2	VP-D2-N5	It can happen in any industry	It can happen in	any industry	4	NP-D4-N1	VP-D2-N2
There was no cost estimate for the second phase	There was	no cost estimate for the second phase	NP-D2-N2	VP-D1-N1	The red granite mausoleum draws thousands of visitors daily	The red granite mausoleum draws daily	thousands of visitors	5	NP-D2-N5	VP-D1-N1
Manville is a building and forest products concern	Manville is	a building and forest products concern	NP-D2-N2	VP-D1-N1	Solidarity wants it from the West	Solidarity wants it from	the West	4	NP-D3-N2	VP-D1-N1
The plan would impose a brief freeze on physician fees next year	The plan would impose a brief freeze on physician fees	next year	NP-D3-N3	VP-D2-N3	The Northeast has been holding its own in the population race	The Northeast has been holding in the population race	its own	5	NP-D4-N1	VP-D3-N1
The change prompted the rise of discount brokers and a reduction in securities research firms	The change prompted the rise of and a reduction in securities research firms	discount brokers	NP-D5-N3	PP-D4-N1	But both the traders and the pilots remain interested in some transaction	But both the traders and the pilots remain interested in	some transaction	10	NP-D4-N1	PP-D3-N5
Nausea and vomiting are other common side effects	Nausea and vomiting are	other common side effects	NP-D2-N4	VP-D1-N1	Accepted theories state that investors require higher returns on riskier investments	Accepted theories state that investors require on riskier investments	higher returns	6	NP-D5-N2	VP-D4-N1
The Northeast and West regions were unchanged	The regions were unchanged	Northeast and West	ADJP-D2-N1	NP-D1-N0	West German government officials and Western analysts are doubtful	government officials and Western analysts are doubtful	West German	0	ADJP-D3-N0	NP-D2-N0
Whether she can meet that ambitious goal is still far from certain	Whether she can meet that ambitious goal is still	far from certain	PP-D2-N4	VP-D1-N1	The Maybelline beauty product line had higher sales following a sluggish first half	The Maybelline beauty product line had higher sales	following a sluggish first half	8	PP-D2-N7	VP-D1-N1
The company rejected those past proposals	The company rejected	those past proposals	NP-D2-N3	VP-D1-N1	Four of those insiders sold more than half their holdings	Four of those insiders sold	more than half their holdings	5	NP-D2-N3	VP-D1-N1
Employees wore identification badges listing not only their names but also their dates of hire	Employees wore	identification badges listing not only their names but also their dates of hire	NP-D2-N2	VP-D1-N1	The Polish rat will eat well this winter	The Polish rat will eat well	this winter	6	NP-D3-N2	VP-D2-N4
It has sold billions of dollars of other assets and has more on the block	It has sold billions and has more on the block	of dollars of other assets	PP-D5-N1	NP-D4-N1	Silicon Valley heaved a sigh of relief yesterday	Silicon Valley heaved a sigh yesterday	of relief	5	PP-D3-N1	NP-D2-N3
The company can go about its business	The company can go about	its business	NP-D4-N1	PP-D3-N1	The expansion is subject to approval by federal and Wisconsin environmental regulators	The expansion is subject to	approval by federal and Wisconsin environmental regulators	5	NP-D4-N1	PP-D3-N1
Prospective competition is one problem	Prospective competition is	one problem	NP-D2-N3	VP-D1-N1	Two segments posted lower earnings for the quarter	Two segments posted	lower earnings for the quarter	3	NP-D2-N3	VP-D1-N1
Employees wore identification badges listing not only their names but also their dates of hire	Employees wore identification badges listing their names but also their dates of hire	not only	CONJP-D5-N0	NP-D4-N3	He has designed furniture and homes as well as commercial and office space	He has designed furniture and homes commercial and office space	as well as	6	CONJP-D4-N1	NP-D3-N1
The failed rights issue also should have a modest impact on British Air shares	The failed rights issue also should have	a modest impact on British Air shares	NP-D3-N1	VP-D2-N6	Two election commission members opposed the matching plans	Two election commission members opposed	the matching plans	5	NP-D2-N5	VP-D1-N1
The envelope arrives in the mail	The envelope arrives in	the mail	NP-D3-N1	PP-D2-N3	The Vatican was in the red last year	The Vatican was in last year	the red	4	NP-D3-N1	PP-D2-N3
But New York City general obligation bonds came under selling pressure	But New York City general obligation bonds came	under selling pressure	PP-D2-N7	VP-D1-N2	The Panamanian affair is only the tip of a more alarming iceberg	The Panamanian affair is only the tip	of a more alarming iceberg	7	PP-D3-N1	VP-D1-N1
And the egg producers have done a pretty good job	And the egg producers have done a job	pretty good	ADJP-D4-N1	NP-D3-N1	Prices closed mixed as contracts reacted to largely offsetting bullish and bearish news	Prices closed mixed as contracts reacted to bullish and bearish news	largely offsetting	7	ADJP-D7-N0	NP-D6-N1
Those two groups have recently been leading the list of stocks setting new highs	Those two groups have recently been leading	the list of stocks setting new highs	NP-D4-N1	VP-D3-N2	The lonely woman walks on in the direction of the Plaza de Alonso Martinez	The lonely woman walks on in	the direction of the Plaza de Alonso Martinez	6	NP-D3-N2	VP-D1-N1
It also would have reduced mandatory overtime	It also would have reduced	mandatory overtime	NP-D4-N1	VP-D3-N1	Reform starts in the Pentagon	Reform starts in	the Pentagon	3	NP-D3-N1	VP-D1-N1
The market seems increasingly disconnected from the rest of the nation	The market seems increasingly disconnected from	the rest of the nation	NP-D4-N1	PP-D3-N2	Michael Applebaum resigned after less than a year in the posts	Michael Applebaum resigned after	less than a year in the posts	4	NP-D3-N1	PP-D2-N3
But its stock jumped again yesterday as it disclosed surprisingly strong margins on those sales	But its stock jumped again yesterday as it disclosed surprisingly strong margins	on those sales	PP-D6-N1	NP-D5-N2	Merrill has been one of the main firms executing index arbitrage for customers	Merrill has been one	of the main firms executing index arbitrage for customers	4	PP-D4-N1	NP-D3-N1
And the practice often varies from location to location even within a company	And the practice often varies from location to location even within	a company	NP-D3-N4	PP-D2-N5	Expansion plans also include acquisitions in growing foreign markets	Expansion plans also include acquisitions in	growing foreign markets	6	NP-D4-N2	PP-D3-N1
Institutional investors mostly remained on the sidelines Tuesday	Institutional investors mostly remained on Tuesday	the sidelines	NP-D3-N1	PP-D2-N4	Your story is an insult to the citizens of the Mississippi Delta	Your story is an insult to	the citizens of the Mississippi Delta	6	NP-D4-N3	PP-D3-N1
The economic ideas in the document are much bolder than current policies	The economic ideas in are much bolder than current policies	the document	NP-D3-N4	PP-D2-N1	This occurred partly because of more competition as the number of new businesses surged	This occurred partly because of as the number of new businesses surged	more competition	5	NP-D3-N3	PP-D2-N2
It also lowered some air fares	It also lowered	some air fares	NP-D2-N3	VP-D1-N2	At the time merchants were asking for premiums of about five cents a pound	At the time merchants were asking for	premiums of about five cents a pound	7	NP-D4-N1	VP-D2-N4
And there were other blunders	And there were	other blunders	NP-D2-N2	VP-D1-N2	News of the bid drew sharp criticism from other computer companies and industry observers	News of the bid drew from other computer companies and industry observers	sharp criticism	5	NP-D2-N3	VP-D1-N1
Both figures were record highs	Both figures were	record highs	NP-D2-N3	VP-D1-N1	The economic ideas in the document are much bolder than current policies	The economic ideas in the document are much bolder than	current policies	10	NP-D4-N5	VP-D1-N1
This kind of theater was new to us	This kind was new to us	of theater	PP-D2-N1	NP-D1-N0	Following are excerpts from the electronic traffic that night	Following are excerpts	from the electronic traffic that night	3	PP-D2-N2	NP-D1-N2
They are awaiting an arbitration proceeding	They are awaiting	an arbitration proceeding	NP-D3-N1	VP-D2-N2	The relative calm in Tokyo proved little comfort to markets opening up in Europe	The relative calm in Tokyo proved	little comfort to markets opening up in Europe	6	NP-D2-N3	VP-D1-N1
It has some of the highest costs in the league	It has	some of the highest costs in the league	NP-D2-N2	VP-D1-N1	And many have done just that	And many have done	just that	4	NP-D3-N1	VP-D2-N2
None of the officials was available for comment	None was available for comment	of the officials	PP-D2-N1	NP-D1-N0	The agreement is subject to completion of a definitive amendment and appropriate approvals	The agreement is subject to completion	of a definitive amendment and appropriate approvals	6	PP-D5-N1	NP-D4-N1
Some found it on the screen of a personal computer	Some found it on the screen	of a personal computer	PP-D4-N1	NP-D3-N2	Traders can vary their strategies and execute their orders in any one of them	Traders can vary their strategies and execute their orders in any one	of them	12	PP-D6-N1	NP-D5-N5
These securities are attractive to Japanese investors for three reasons	These securities are for three reasons	attractive to Japanese investors	ADJP-D2-N3	VP-D1-N1	The stock market is certainly not too big for the Fed to handle	The stock market is certainly not	too big for the Fed to handle	6	ADJP-D2-N6	VP-D1-N1
It was the smallest monthly increase in a year	It was the smallest monthly increase	in a year	PP-D3-N1	NP-D2-N2	Those two groups have recently been leading the list of stocks setting new highs	Those two groups have recently been leading the list	of stocks setting new highs	9	PP-D5-N1	NP-D4-N1
But it may have a good listener in Washington	But it may have in Washington	a good listener	NP-D3-N1	VP-D2-N2	Digital is promising a new approach	Digital is promising	a new approach	3	NP-D3-N1	VP-D2-N2
At least half that growth will have come in the past three years alone	At least half that growth will have come in	the past three years alone	NP-D5-N1	PP-D4-N1	The charge on loans to depository institutions by the New York Federal Reserve Bank	The charge on by the New York Federal Reserve Bank	loans to depository institutions	3	NP-D2-N3	PP-D1-N1
The switch to the London market during such turbulent times is significant	The switch to the London market is significant	during such turbulent times	PP-D2-N2	NP-D1-N0	The announcement fueled speculation for future advances in the shares	The announcement fueled speculation	for future advances in the shares	4	PP-D3-N1	NP-D2-N3
Japan is a major target for the Soviets	Japan is a major target	for the Soviets	PP-D3-N1	NP-D2-N2	Economists in Moscow are now proposing that the state start a system of unemployment benefits	Economists are now proposing that the state start a system of unemployment benefits	in Moscow	1	PP-D2-N1	NP-D1-N0
Waxman sells a variety of hardware products for the home repair market	Waxman sells a variety	of hardware products for the home repair market	PP-D3-N1	NP-D2-N2	But the firm also tracks smaller technology companies as a subset of the larger group	But the firm also tracks smaller technology companies as a subset	of the larger group	11	PP-D4-N1	NP-D3-N4
New telephone lines posted healthy growth	New telephone lines posted	healthy growth	NP-D2-N4	VP-D1-N1	Several other banks have similar applications pending	Several other banks have	similar applications pending	4	NP-D2-N4	VP-D1-N1
Another agency issue came to market yesterday	Another agency issue came yesterday	to market	PP-D2-N4	VP-D1-N1	The put establishes a minimum selling price for the stock during its life	The put establishes a minimum selling price during its life	for the stock	7	PP-D3-N1	VP-D1-N1
The recent sharp stock market decline exacerbated those concerns	The recent sharp stock market decline exacerbated	those concerns	NP-D2-N7	VP-D1-N1	Estimated volume was five million ounces	Estimated volume was	five million ounces	3	NP-D2-N3	VP-D1-N1
Another analyst noted that Cuba has been deferring shipments in recent years	Another analyst noted that Cuba has been deferring shipments	in recent years	PP-D7-N2	VP-D6-N1	Expansion plans also include acquisitions in growing foreign markets	Expansion plans also include acquisitions	in growing foreign markets	5	PP-D3-N1	VP-D1-N2
Many interpret the delay as an indication that regulators are skeptical about the proposal	Many interpret the delay as an indication that regulators are	skeptical about the proposal	ADJP-D7-N2	VP-D6-N1	The reality is that Bank finances are rock solid	The reality is that Bank finances are	rock solid	7	ADJP-D5-N3	VP-D4-N1
Other companies are introducing related products	Other companies are introducing	related products	NP-D3-N1	VP-D2-N3	They note that stocks experienced volatile swings long before futures	They note that stocks experienced long before futures	volatile swings	5	NP-D5-N2	VP-D4-N1
She has also served on several task forces on acquired immune deficiency syndrome	She has also served on several task forces	on acquired immune deficiency syndrome	PP-D5-N1	NP-D4-N1	The August drop was the fourth decline in five months	The August drop was the fourth decline	in five months	7	PP-D3-N1	NP-D2-N4
The completion of the merger agreement follows months of twists and turns	The completion of the merger agreement follows months of	twists and turns	NP-D4-N5	PP-D3-N5	The company is active in office and residential development in New York	The company is active in	office and residential development in New York	5	NP-D3-N2	PP-D2-N4
President Bush signed a disaster declaration covering seven Northern California counties	President Bush signed a disaster declaration covering	seven Northern California counties	NP-D4-N4	VP-D3-N1	Chandler might have been predicting the course of his own career	Chandler might have been predicting	the course of his own career	5	NP-D5-N1	VP-D4-N1
Certainly not the lawyers	Certainly not	the lawyers	NP-D1-N2	FRAG-D0-N0	Not to mention the incursion of imports	Not to mention	the incursion of imports	3	NP-D1-N1	FRAG-D0-N0
Our international efforts were far greater than ever before	Our international efforts were far greater than	ever before	ADVP-D4-N1	PP-D3-N2	The finance unit attributed the decline to higher borrowing costs compared with a year earlier	The finance unit attributed the decline to higher borrowing costs compared with	a year earlier	12	ADVP-D6-N1	PP-D5-N4
The plan would impose a brief freeze on physician fees next year	The plan would impose a brief freeze on next year	physician fees	NP-D4-N4	PP-D3-N2	Hanson is a London producer of consumer and other goods	Hanson is a London producer of	consumer and other goods	6	NP-D4-N4	PP-D3-N1
Another poked a hole in the heel of his shoe	Another poked a hole in the heel of	his shoe	NP-D5-N3	PP-D4-N1	The lonely woman walks on in the direction of the Plaza de Alonso Martinez	The lonely woman walks on in	the direction of the Plaza de Alonso Martinez	6	NP-D3-N2	PP-D2-N5
These revised figures also may explain some of the recent strength of the dollar	These revised figures also may explain some of the recent strength of	the dollar	NP-D7-N4	PP-D6-N1	The company can go about its business	The company can go about	its business	5	NP-D4-N1	PP-D3-N1
Japan is a major target for the Soviets	Japan is a major target	for the Soviets	PP-D3-N1	NP-D2-N2	Accepted theories of asset pricing offer a perfectly legitimate explanation	Accepted theories offer a perfectly legitimate explanation	of asset pricing	2	PP-D2-N1	NP-D1-N0
Some lagging competitors even may leave the personal computer business altogether	Some lagging competitors even may leave altogether	the personal computer business	NP-D3-N1	VP-D2-N5	Everyone falls in love with everyone else	Everyone falls in love with	everyone else	5	NP-D3-N3	VP-D1-N1
Tokyo stocks rebounded Tuesday from two consecutive daily losses in relatively active dealings	Tokyo stocks rebounded Tuesday in relatively active dealings	from two consecutive daily losses	PP-D2-N4	VP-D1-N1	My back is still in knots and my hands are still shaking	My back is still and my hands are still shaking	in knots	4	PP-D3-N4	VP-D2-N1
But then the noise turned into a roar	But then the noise turned into	a roar	NP-D3-N1	PP-D2-N4	At least half that growth will have come in the past three years alone	At least half that growth will have come in	the past three years alone	9	NP-D5-N1	PP-D4-N1
The executive branch bears the first responsibility for timidity	The executive branch bears the first responsibility	for timidity	PP-D3-N1	NP-D2-N4	Some found it on the screen of a personal computer	Some found it on the screen	of a personal computer	6	PP-D4-N1	NP-D3-N2
Two election commission members opposed the matching plans	Two election commission members opposed	the matching plans	NP-D2-N5	VP-D1-N1	Prospective competition is one problem	Prospective competition is	one problem	3	NP-D2-N3	VP-D1-N1
Books and tapes all over my room	Books and tapes	all over my room	PP-D1-N1	NP-D0-N0	Risk is also a function of time	Risk is also a function	of time	5	PP-D3-N2	NP-D2-N3
Treasury bonds ended slightly higher in light trading	Treasury bonds ended in light trading	slightly higher	ADVP-D2-N3	VP-D1-N1	The Senate will probably vote not long afterward	The Senate will probably vote	not long afterward	5	ADVP-D3-N2	VP-D2-N4
But violation could bring substantial tax penalties to both employer and employees	But violation could bring substantial tax penalties to	both employer and employees	NP-D4-N4	PP-D3-N2	Shareholders must approve the merger at general meetings of the two companies in late November	Shareholders must approve the merger at	general meetings of the two companies in late November	6	NP-D4-N3	PP-D3-N2
Many of his peers feel the same way	Many feel the same way	of his peers	PP-D2-N1	NP-D1-N0	The dollar posted gains in quiet trading as concerns about equities abated	The dollar posted gains in quiet trading as concerns abated	about equities	9	PP-D5-N1	NP-D4-N2
The youthful audience for Saturday programming is no longer dependent on the networks	The youthful audience for Saturday programming is no longer	dependent on the networks	ADJP-D2-N4	VP-D1-N1	Only now is it undergoing a badly needed facelift	Only now is it undergoing a facelift	badly needed	6	ADJP-D3-N1	VP-D1-N3
These revised figures also may explain some of the recent strength of the dollar	These revised figures also may explain some	of the recent strength of the dollar	PP-D4-N1	NP-D3-N1	Traders attributed the action in them largely to defensive positioning in a volatile market	Traders attributed the action largely to defensive positioning in a volatile market	in them	4	PP-D3-N1	NP-D2-N2
These securities are attractive to Japanese investors for three reasons	These securities are attractive to Japanese investors for	three reasons	NP-D3-N3	PP-D2-N4	Waxman sells a variety of hardware products for the home repair market	Waxman sells a variety of	hardware products for the home repair market	5	NP-D4-N3	PP-D3-N1
Red tape is the bugaboo of small business	Red tape is	the bugaboo of small business	NP-D2-N3	VP-D1-N1	But markets can operate with greater or lesser efficiency	But markets can operate with	greater or lesser efficiency	5	NP-D4-N1	VP-D2-N2
Commodity futures prices generally reflected the stability of the stock market following its plunge Friday	Commodity futures prices generally reflected the stability of following its plunge Friday	the stock market	NP-D4-N3	PP-D3-N1	He does this in at least three of his solo pieces	He does this in	at least three of his solo pieces	4	NP-D3-N2	PP-D2-N3
The Fed has assumed a similar responsibility in the market for government securities	The Fed has assumed a similar responsibility in the market for	government securities	NP-D7-N3	PP-D6-N1	The house just settled right down into the ground	The house just settled right down into	the ground	7	NP-D3-N3	PP-D2-N5
But attendance is down from previous years	But attendance is down from	previous years	NP-D4-N1	PP-D3-N1	But they are also talking about new magazines	But they are also talking about	new magazines	6	NP-D4-N1	PP-D3-N2
Opponents show that there are already more funds available than commendable reform efforts	Opponents show that there are already more funds available than	commendable reform efforts	NP-D7-N3	PP-D6-N2	We go from one to the other	We go from one to	the other	5	NP-D3-N3	PP-D2-N3
Some found it on the screen of a personal computer	Some found it on the screen	of a personal computer	PP-D4-N1	NP-D3-N2	Even the boon to affiliate relations may be limited	Even the boon may be limited	to affiliate relations	3	PP-D2-N1	NP-D1-N0
Advertisers attribute this shared loyalty to the striking similarity among brands	Advertisers attribute this shared loyalty	to the striking similarity among brands	PP-D2-N3	VP-D1-N1	Many interpret the delay as an indication that regulators are skeptical about the proposal	Many interpret the delay	as an indication that regulators are skeptical about the proposal	4	PP-D2-N3	VP-D1-N1
Most of the telephone problems in the immediate aftermath stemmed from congestion	Most of the telephone problems in the immediate aftermath stemmed	from congestion	PP-D2-N3	VP-D1-N1	The pool invested idle cash for many state agencies and local governments	The pool invested idle cash	for many state agencies and local governments	5	PP-D2-N4	VP-D1-N1
But lawmakers of both parties agree that the streamlining was temporary	But lawmakers agree that the streamlining was temporary	of both parties	PP-D2-N1	NP-D1-N1	Their discomfort is a healthy sign for the rest of us	Their discomfort is a healthy sign	for the rest of us	6	PP-D3-N1	NP-D2-N3
And the controversy has led to uncertainty about the outcome of the election	And the controversy has led to uncertainty about the outcome of	the election	NP-D8-N3	PP-D7-N1	Names are resigning at an even faster pace this year	Names are resigning at this year	an even faster pace	4	NP-D4-N1	PP-D3-N1
Futures prices showed modest changes in light trading volume	Futures prices showed modest changes in	light trading volume	NP-D3-N3	PP-D2-N4	The mining zone has thus remained one of the most desolate places in Africa	The mining zone has thus remained one of	the most desolate places in Africa	8	NP-D5-N2	PP-D4-N1
That went over the permissible line for warm and fuzzy feelings	That went over the permissible line for feelings	warm and fuzzy	ADJP-D6-N0	NP-D5-N4	Prices closed mixed as contracts reacted to largely offsetting bullish and bearish news	Prices closed mixed as contracts reacted to bullish and bearish news	largely offsetting	7	ADJP-D7-N0	NP-D6-N1
The charge on loans to brokers on stock exchange collateral	The charge on loans on stock exchange collateral	to brokers	PP-D3-N1	NP-D2-N3	Now there are many cars for every purse and purpose	Now there are many cars	for every purse and purpose	5	PP-D3-N1	NP-D2-N3
But that was all of three months ago	But that was	all of three months ago	ADVP-D2-N2	VP-D1-N2	He has too readily swallowed the case for the activist law school culture	He has swallowed the case for the activist law school culture	too readily	2	ADVP-D3-N0	VP-D2-N2
But there are no scientific data on this question	But there are	no scientific data on this question	NP-D2-N2	VP-D1-N2	But even a little appeal has a lot of attraction these days	But even a little appeal has these days	a lot of attraction	6	NP-D2-N5	VP-D1-N2
Higher earnings helped some issues	Higher earnings helped	some issues	NP-D2-N3	VP-D1-N1	But violation could bring substantial tax penalties to both employer and employees	But violation could bring to both employer and employees	substantial tax penalties	4	NP-D3-N1	VP-D2-N2
Continental Airlines is a unit of Texas Air Corp	Continental Airlines is a unit of	Texas Air Corp	NP-D4-N3	PP-D3-N1	The case went on appeal to the Second Circuit	The case went on appeal to	the Second Circuit	6	NP-D3-N3	PP-D2-N4
More carefully targeted intervention might actually reduce the need for government action	More carefully targeted intervention might actually reduce the need	for government action	PP-D4-N3	NP-D3-N4	Economists in Moscow are now proposing that the state start a system of unemployment benefits	Economists are now proposing that the state start a system of unemployment benefits	in Moscow	1	PP-D2-N1	NP-D1-N0
Lawmakers in both houses support the higher level	Lawmakers in both houses support	the higher level	NP-D2-N3	VP-D1-N1	It is a peaceful time in this part of western India	It is in this part of western India	a peaceful time	2	NP-D2-N2	VP-D1-N1
