demon	d_deleted	test	t_deleted	start
But in this case the needle has a very sharp point	a very sharp point	Your story is an insult to the citizens of the Mississippi Delta	an insult to the citizens of the Mississippi Delta	3
Creative accounting is a hallmark of federal credit	a hallmark of federal credit	Enfield is a holding company with interests in manufacturing concerns	a holding company with interests in manufacturing concerns	2
He takes over a school system in the midst of radical reform	a school system in the midst of radical reform	The challengers will have a big price advantage	a big price advantage	4
The worriers cite some worrisome trends	some worrisome trends	The number of issues falling on the New York Stock Exchange each day is eclipsing the number of gainers	each day	11
There was no immediate estimate of damage from the company	no immediate estimate of damage	Sidley will maintain its association with the Hashidate Law Office in Tokyo	its association with the Hashidate Law Office in Tokyo	3
That means huge travel bills	huge travel bills	Shvartzer is a derogatory Yiddish word for a black person	a derogatory Yiddish word for a black person	2
The company just went public earlier this month	earlier this month	Columbia announced the results after the close of the stock market	the results	2
Silicon Valley heaved a sigh of relief yesterday	a sigh of relief	It blames most of these on Fatah	most of these	2
Earlier repairs vented the CFCs out of the home through a hose directly into the atmosphere	the CFCs	The team then proposed modifications in their work process to management	modifications in their work process	4
The Marina rescue center offered a very San Franciscan response to the disaster	a very San Franciscan response to the disaster	Ski promotions have traditionally avoided the touchy issue of safety	the touchy issue of safety	5
Silicon Valley heaved a sigh of relief yesterday	a sigh of relief	But some money managers are doing just that	just that	6
We now know that the words were not always his own	his own	Estimated volume was a very light one million ounces	a very light one million ounces	3
Sidley will maintain its association with the Hashidate Law Office in Tokyo	its association with the Hashidate Law Office in Tokyo	Frequent trading runs up high commission costs	high commission costs	4
The film makers have couched this offensive idea in pretty packaging	this offensive idea	Digital is promising a new approach	a new approach	3
Some have raised their cash positions to record levels	their cash positions	He no longer crowds the plate	the plate	4
Deal stocks led the market down as they absorbed the heaviest losses	the market	Judge Merhige will make the appointment	the appointment	4
Prosecutors in Miami received yet another setback	yet another setback	He has designed furniture and homes as well as commercial and office space	furniture and homes as well as commercial and office space	3
Yet the state alone sells seeds and machines	seeds and machines	The merchant bank also announced that finance director David Eward is taking early retirement for personal reasons	early retirement	12
Their verdict on real estate is almost the same	the same	The company also reassigned several executive responsibilities	several executive responsibilities	4
But violation could bring substantial tax penalties to both employer and employees	substantial tax penalties	The leader in real estate brand names is developer Ara Hovnanian	developer Ara Hovnanian	8
Estimated volume was a very light one million ounces	a very light one million ounces	Japanese put up with it because the government provided job stability and growing paychecks	job stability and growing paychecks	9
It blames most of these on Fatah	most of these	Only now is it undergoing a badly needed facelift	a badly needed facelift	5
Announced and anticipated purchases from foreign countries are also supporting futures prices	futures prices	He was only the sixth federal judge ever ousted from office after an impeachment trial	only the sixth federal judge	2
Both are mining concerns	mining concerns	James Earl Jones and Mario Van Peebles carry out a bitter intergenerational dialogue between two black men	a bitter intergenerational dialogue between two black men	9
First Interstate made the move under pressure from regulators	the move	Prosecutors in Miami received yet another setback	yet another setback	4
Analysts expect others to show a similar pattern	a similar pattern	it defended appropriate constitutional safeguards and practical common sense	appropriate constitutional safeguards and practical common sense	2
The laws take effect next month	next month	Shearson Lehman Hutton began its coverage of the company with favorable ratings	its coverage of the company	4
The Arabs had merely oil	merely oil	The Celtona operations would become part of those ventures	part of those ventures	5
They used their judgment	their judgment	Estimated volume was a light two million ounces	a light two million ounces	3
They are more sophisticated this time	this time	Earlier repairs vented the CFCs out of the home through a hose directly into the atmosphere	the CFCs	3
All three new models are outselling their predecessors by wide margins	their predecessors	Never once did she gasp for air or mop her brow	her brow	9
Shareholders will also receive one cent per share for the redemption of preferred stock purchase rights	one cent per share	All three new models are outselling their predecessors by wide margins	their predecessors	6
Other network applications have very different goals	very different goals	The town is home to the Mountain Bike Hall of Fame and it hosts the annual Fat Tire Bike Week	home to the Mountain Bike Hall of Fame	3
The leader in real estate brand names is developer Ara Hovnanian	developer Ara Hovnanian	Investors and analysts applauded the news	the news	4
More carefully targeted intervention might actually reduce the need for government action	the need for government action	Many other brokerage firms had similarly bullish views	similarly bullish views	5
There was no appreciable market impact from the California earthquake	no appreciable market impact from the California earthquake	The company just went public earlier this month	earlier this month	5
The Pentagon is a haunted house	a haunted house	The adjustments reflect the increase in the consumer price index for urban wage earners and clerical workers from the third quarter of last year to the third quarter of this year	the increase in the consumer price index for urban wage earners and clerical workers from the third quarter of last year to the third quarter of this year	3
The project has already acquired a certain New York cachet	a certain New York cachet	Japan is not a political country	a political country	3
Nausea seems a commonplace symptom	a commonplace symptom	The results reflect a reversal in the fortunes of the regions during the past two years	a reversal in the fortunes of the regions	3
The reconciliation talks in the Libyan desert town of Tobruk followed a meeting Monday in the Egyptian resort of Mersa Metruh	a meeting Monday in the Egyptian resort of Mersa Metruh	They are more sophisticated this time	this time	4
Ashland had a loss	a loss	Opponents show that there are already more funds available than commendable reform efforts	more funds available than commendable reform efforts	6
But most investors were seeking share prices and other information	share prices and other information	The new rules will allow investors to buy foreign stocks directly	foreign stocks	8
He previously held similar responsibilities	similar responsibilities	Every major maker offers computers with color displays	computers with color displays	4
Managers of junk funds were bolstering their cash hoards after the September cash crunch at Campeau Corp	their cash hoards	The ferocious competition probably will drive some poorly managed properties into bankruptcy or new ownership	some poorly managed properties	6
Trading in cotton and sugar was nervous and showed small declines	small declines	Ski promotions have traditionally avoided the touchy issue of safety	the touchy issue of safety	5
The Vatican was in the red last year	last year	Now there are many cars for every purse and purpose	many cars for every purse and purpose	3
Earlier repairs vented the CFCs out of the home through a hose directly into the atmosphere	the CFCs	They trotted out another crop of instant commercials after the sudden market dip a few weeks ago	another crop of instant commercials	3
Your paper needs a serious reality check	a serious reality check	The Babelists of the United Nations are experts at obfuscation	experts at obfuscation	7
Some machines make charts for presentations	charts for presentations	He has too readily swallowed the case for the activist law school culture	the case for the activist law school culture	5
But readers may well feel the pangs of recognition	the pangs of recognition	But the shaky economic outlook and the volatile stock market forced the dollar lower against major currencies	the dollar	11
Scientists also are exploring memory and perception with the new machines	memory and perception	Some business analysts blame the problem on tough competition in the insurance market	the problem	4
It is a quick fix for a complex problem	a quick fix for a complex problem	Sidley will maintain its association with the Hashidate Law Office in Tokyo	its association with the Hashidate Law Office in Tokyo	3
The dividend had been five cents a share	five cents a share	East Bloc pollution data typically have been state secrets	state secrets	7
Ashland expects that sale to be complete next year	next year	The Pentagon is a haunted house	a haunted house	3
Concord is a camera and photographic products company	a camera and photographic products company	Accepted theories of asset pricing offer a perfectly legitimate explanation	a perfectly legitimate explanation	6
Announced and anticipated purchases from foreign countries are also supporting futures prices	futures prices	Delayed financings also would affect the operations of many companies	the operations of many companies	5
Radio programs and books have followed the daily television show	the daily television show	El Paso owns and operates a petroleum refinery	a petroleum refinery	5
This hurts the price of corporate bonds	the price of corporate bonds	Prosecutors in Miami received yet another setback	yet another setback	4
They grew up with more brand choices than any generation and have shown less allegiance so far	less allegiance	Our teachers are not an important factor in our educational crisis	an important factor in our educational crisis	4
He has good control	good control	That structural lack is crucial because investors are the only source of market liquidity	the only source of market liquidity	8
The Celtona operations would become part of those ventures	part of those ventures	Junk bonds opened as much as four points lower but staged a modest comeback as stock prices firmed	a modest comeback	11
The dividend had been five cents a share	five cents a share	Randy Delchamps retains his position as president	his position as president	3
We had great success in Somalia	great success	Wang had previously forecast a loss	a loss	4
Investors welcomed the move	the move	Nausea seems a commonplace symptom	a commonplace symptom	2
Aer Rianta already has so many ventures with Aeroflot that its chief executive is studying Russian	so many ventures with Aeroflot that its chief executive is studying Russian	And Navigation Mixte has a huge hidden attraction	a huge hidden attraction	4
Both the Peasants and Rural Solidarity are forming new political parties for farmers	new political parties for farmers	One big problem has been the thoroughbred racehorse market	the thoroughbred racehorse market	5
William Coors is their uncle	their uncle	The rise matches that of the Dow Jones industrials this year	that of the Dow Jones industrials this year	3
Giant has interests in cement making and newsprint	interests in cement making and newsprint	It also would have reduced mandatory overtime	mandatory overtime	5
The incident occurred Saturday night	Saturday night	The agreement ended a long impasse between the congressional leaders and the White House over the wage issue	a long impasse between the congressional leaders and the White House over the wage issue	3
Institutional buyers were the main force pushing blue chips higher	the main force pushing blue chips higher	The plan lacked a withdrawal timetable	a withdrawal timetable	3
The business includes Beefeater gin	Beefeater gin	But the utility may not continue next year	next year	6
Some have raised their cash positions to record levels	their cash positions	Most analysts had expected a sharper decline after the steep rise in August	a sharper decline	4
Your story is an insult to the citizens of the Mississippi Delta	an insult to the citizens of the Mississippi Delta	The rise of superintendents such as Joseph Fernandez and Ted Kimbrough suggests plainly the process of disintegration in many school systems	the process of disintegration in many school systems	13
One man wrapped several diamonds in the knot of his tie	several diamonds	Business leaders have long criticized the agency as a leading example of bureacratic waste	the agency	5
The historical profession will survive these decisions	these decisions	The deal requires regulatory and shareholder approval	regulatory and shareholder approval	3
But Chairman Gonzalez is a genuine maverick	a genuine maverick	President Bush has been hearing this kind of opposition first hand during meetings over the past two days with Democratic senators at the White House	this kind of opposition	5
Two segments posted lower earnings for the quarter	lower earnings for the quarter	And the egg producers have done a pretty good job	a pretty good job	6
It seeks unspecified money damages	unspecified money damages	The British conglomerate cited the recent turmoil in financial markets	the recent turmoil in financial markets	4
Paintings are just part of the picture	just part of the picture	Their problem is one of inefficiency of an industrial economy	one of inefficiency of an industrial economy	3
Two election commission members opposed the matching plans	the matching plans	Jacobs is an international engineering and construction concern	an international engineering and construction concern	2
He cut her hair	her hair	Recruiter Donald Clark does note an increase in searches for minority candidates	an increase in searches for minority candidates	5
The recent sharp stock market decline exacerbated those concerns	those concerns	Canadian investment rules require that big foreign takeovers meet that standard	that standard	9
Housing has been weak all year and especially so in the past five months	all year	The original owners happily repaid the claim and took their kylix home	the claim	5
The state of New Hampshire has favored that plan	that plan	Earlier repairs vented the CFCs out of the home through a hose directly into the atmosphere	the CFCs	3
They used their judgment	their judgment	South Korea and the Soviet Union have no diplomatic relations but exchanged trade offices earlier this year	no diplomatic relations	7
Both figures were record highs	record highs	Other major players in intimate apparel apparently feel the same way	the same way	8
It has some of the highest costs in the league	some of the highest costs in the league	He expects Citicorp to take a similar step this year	a similar step	5
The revival of the real estate mortgage investment conduit market reflected the relative calm in the mortgage market after two days of volatile trading	the relative calm in the mortgage market after two days of volatile trading	The electronics industry is closely following the Dellums bill	the Dellums bill	6
The sale of a portion of refining and marketing operations to Saudi Arabia helped alleviate the decline in earnings from that business	the decline in earnings from that business	The original owners happily repaid the claim and took their kylix home	the claim	5
Those include Rhin et Moselle Vie and Via Assurances	Rhin et Moselle Vie and Via Assurances	Friday capped a week of steadily rising crude oil prices in both futures and spot markets	a week of steadily rising crude oil prices in both futures and spot markets	2
Broader averages also posted modest gains	modest gains	Other scandal survivors are sometimes the best source of solace	the best source of solace	5
The agreement ended a long impasse between the congressional leaders and the White House over the wage issue	a long impasse between the congressional leaders and the White House over the wage issue	Estimated volume was five million ounces	five million ounces	3
Meritor has headed the list since May	the list	The Ways and Means Committee will hold a hearing on the bill next Tuesday	a hearing on the bill	7
Bond prices posted strong gains as investors went on a bargain hunt	strong gains	The main argument for growth stocks is their usually superior performance in a slowing economy	their usually superior performance in a slowing economy	7
The doomsayers had a receptive audience	a receptive audience	And Oranjemund boasts attractions besides diamonds	attractions besides diamonds	3
Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	rate limits on Seabrook operations and other contingencies	The prolonged price pressures are driving a wedge between some franchisers and their franchisees	a wedge	6
But observers expect broad support	broad support	Deutsche Bank has actively sought a French acquisition for at least two years	a French acquisition	5
Some in Big Oil are easing the grip on their wallets	the grip on their wallets	The project has already acquired a certain New York cachet	a certain New York cachet	5
We now know that the words were not always his own	his own	But sophistication has its limits	its limits	3
So the Federal Reserve is an attractive target for complaint by politicians	an attractive target for complaint by politicians	Kia is reportedly also considering such a plan	such a plan	5
They did themselves even more good	even more good	Advertisers attribute this shared loyalty to the striking similarity among brands	this shared loyalty	2
Analysts expect further jitters this week	further jitters	Some in Big Oil are easing the grip on their wallets	the grip on their wallets	6
Housing has been weak all year and especially so in the past five months	all year	But other rake makers have their doubts	their doubts	5
There are more than three times as many franchised domestic outlets as there are company stores	more than three times as many franchised domestic outlets as there are company stores	But junk bonds took more hits	more hits	4
The put establishes a minimum selling price for the stock during its life	a minimum selling price for the stock during its life	Soviet companies would face fewer obstacles for exports and could even invest their hard currency abroad	fewer obstacles for exports	4
The husky blond guide with the Aggie cap twists his face in mock fury	his face	There are more than three times as many franchised domestic outlets as there are company stores	more than three times as many franchised domestic outlets as there are company stores	2
All three funds posted negative returns for the year to date	negative returns for the year to date	The czars were no civil libertarians	no civil libertarians	3
But violation could bring substantial tax penalties to both employer and employees	substantial tax penalties	They used their judgment	their judgment	2
It was the highest bid in history for a work of art	the highest bid in history for a work of art	Accounting problems raise more knotty issues	more knotty issues	3
There is no rational justification for such behavior	no rational justification for such behavior	Mervin Lung remains chairman and chief executive officer	chairman and chief executive officer	3
He divorced his first wife three years ago and married the daughter of his court clerk	his first wife	Shareholders must approve the merger at general meetings of the two companies in late November	the merger	3
Japan is not a political country	a political country	He sandwiched his praise of constitutional meat between large loaves of bilious commentary	his praise of constitutional meat	2
Los Angeles will be the site of a new entertainment division for the ad agency	the site of a new entertainment division for the ad agency	Deal stocks led the market down as they absorbed the heaviest losses	the market	3
Retailers could get a boost this year from the calendar	a boost	There was no immediate estimate of damage from the company	no immediate estimate of damage	2
Bond prices posted strong gains as investors went on a bargain hunt	strong gains	Japanese companies have a caveat competitor attitude	a caveat competitor attitude	3
The education establishment will fight against common sense every inch of the way	every inch of the way	But there are no scientific data on this question	no scientific data on this question	3
Others analyze the data	the data	Creative accounting is a hallmark of federal credit	a hallmark of federal credit	3
He was only the sixth federal judge ever ousted from office after an impeachment trial	only the sixth federal judge	Right away you notice the following things about a Philip Glass concert	the following things about a Philip Glass concert	4
But they attribute much of the weakness to customer inventory reductions	much of the weakness	He ticks off several major differences between now and two years ago	several major differences between now and two years ago	3
All three new models are outselling their predecessors by wide margins	their predecessors	The announcement fueled speculation for future advances in the shares	speculation for future advances in the shares	3
The Senate Commerce Committee already has approved similar legislation	similar legislation	There will be recreation and movie rooms	recreation and movie rooms	3
But violation could bring substantial tax penalties to both employer and employees	substantial tax penalties	Civil suits against planners by clients seeking recovery of funds are increasingly common	recovery of funds	7
One big obstacle is that few drugstores develop the film anymore	the film	The change prompted the rise of discount brokers and a reduction in securities research firms	the rise of discount brokers and a reduction in securities research firms	3
Both are mining concerns	mining concerns	Drug companies lost a major liability case	a major liability case	3
All along they have been noting the tremors and pointing out the underlying realities	the tremors	That caused a brief period of panic selling of stocks on the Big Board	a brief period of panic selling of stocks	2
The Dutch utility firm serves the Amsterdam and Utrecht areas	the Amsterdam and Utrecht areas	Japan is not a political country	a political country	3
They grew up with more brand choices than any generation and have shown less allegiance so far	less allegiance	Kia is reportedly also considering such a plan	such a plan	5
Continental Air replaced its top executive for the sixth time in as many years	its top executive	Other mutual fund companies reported even lighter withdrawal requests	even lighter withdrawal requests	5
But most investors were seeking share prices and other information	share prices and other information	Miss Brady is deputy director of the Russian Research Foundation in London	deputy director of the Russian Research Foundation in London	3
He remains chief executive officer	chief executive officer	Shareholders must approve the merger at general meetings of the two companies in late November	the merger	3
There are a few ramshackle fishing towns with quiet atolls of resort houses nearby	a few ramshackle fishing towns with quiet atolls of resort houses	But the shaky economic outlook and the volatile stock market forced the dollar lower against major currencies	the dollar	11
But there never was a chance that the Afghan resistance would overthrow the Kabul regime quickly and easily	a chance that the Afghan resistance would overthrow the Kabul regime quickly and easily	This untried concept would expose these firms to potentially astronomical punitive damages	these firms	5
The company could command a good price in the market	a good price	The antibody then kills the cell	the cell	4
Soon she was running the office	the office	But the new lens became the eye of a storm	the eye of a storm	5
He temporarily abandoned his search for the Reuters shares	his search for the Reuters shares	An additional benefit is the creation of jobs	the creation of jobs	4
And there were other blunders	other blunders	But the move lagged a stronger rise in New York Stock Exchange issues	a stronger rise in New York Stock Exchange issues	4
But the two groups represent a further step in defensiveness	a further step in defensiveness	Some economists expect further declines in investment spending	further declines in investment spending	3
This is New York City	New York City	The electronics industry is closely following the Dellums bill	the Dellums bill	6
Randy Delchamps retains his position as president	his position as president	Las Vegas has seen nothing quite like it before	nothing quite like it	4
October is a critical month for the privatization program	a critical month	The company earns about half its revenue overseas and plans further expansion	about half its revenue	3
Only now is it undergoing a badly needed facelift	a badly needed facelift	Commodity futures prices generally reflected the stability of the stock market following its plunge Friday	the stability of the stock market	5
Now a rocky stock market and weak corporate profits may further threaten the economy	the economy	Telerate provides information about financial markets through an electronic network	information about financial markets	2
Senator Byrd is chairman of the Appropriations Committee	chairman of the Appropriations Committee	One ad features a huge robot carrying a voluptuous woman in a faint	a huge robot carrying a voluptuous woman in a faint	3
The Celtona operations would become part of those ventures	part of those ventures	Now it is their fellow Turks arriving as refugees from Bulgaria	their fellow Turks arriving as refugees from Bulgaria	3
He no longer crowds the plate	the plate	Successful American business owners do the same thing	the same thing	5
The recent appearance of aflatoxin in such foods as corn and peanut butter has sparked public concern and consumer scrutiny of food handling and storage procedures	public concern and consumer scrutiny of food handling and storage procedures	Options markets stopped trading in many securities	trading in many securities	3
Pacific First owns Pacific First Federal Savings Banks and other financial services firms	Pacific First Federal Savings Banks and other financial services firms	And Oranjemund boasts attractions besides diamonds	attractions besides diamonds	3
She has lots of opinions	lots of opinions	He remains chief executive officer	chief executive officer	2
He previously held similar responsibilities	similar responsibilities	Some business analysts blame the problem on tough competition in the insurance market	the problem	4
The thrift and the holders had suspended their lawsuits as part of the agreement	their lawsuits	The legal fight was the subject of a Wall Street Journal story yesterday	the subject of a Wall Street Journal story yesterday	4
Industry observers expect a wide divergence in performance	a wide divergence in performance	The sale of a portion of refining and marketing operations to Saudi Arabia helped alleviate the decline in earnings from that business	the decline in earnings from that business	15
He had been president of the international operations	president of the international operations	Never once did she gasp for air or mop her brow	her brow	9
But some money managers are doing just that	just that	Both have become confidants of President Bush	confidants of President Bush	3
Most analysts had expected a sharper decline after the steep rise in August	a sharper decline	These are real costs	real costs	2
Other major players in intimate apparel apparently feel the same way	the same way	The Senate Commerce Committee already has approved similar legislation	similar legislation	7
New Jersey Bell awaits state clearance	state clearance	There is a small Renoir on the wall	a small Renoir	2
Wang had previously forecast a loss	a loss	The Navy is ordering displays for its Aegis cruisers and the Army wants smaller versions for its Abrams battle tanks	smaller versions for its Abrams battle tanks	13
The chimney is a pile of bricks on the front lawn	a pile of bricks on the front lawn	He takes over a school system in the midst of radical reform	a school system in the midst of radical reform	3
She has lots of opinions	lots of opinions	Baskets of roses and potted palms adorned his bench	his bench	7
Some lagging competitors even may leave the personal computer business altogether	the personal computer business	But the production is the equal of any local program	the equal of any local program	4
The reconciliation talks in the Libyan desert town of Tobruk followed a meeting Monday in the Egyptian resort of Mersa Metruh	a meeting Monday in the Egyptian resort of Mersa Metruh	Continental Air replaced its top executive for the sixth time in as many years	its top executive	3
Never once did she gasp for air or mop her brow	her brow	Mazda makes the Tracer for Ford	the Tracer	2
Sun posted a gain	a gain	Risk is also a function of time	a function of time	3
That could shove a weak economy into recession	a weak economy	The move reflected the growing confidence of the revamped Supreme Soviet	the growing confidence of the revamped Supreme Soviet	3
Mubarak held reconciliation talks with Gadhafi at the Egyptian resort of Mersa Metruh	reconciliation talks	Poachers would control the underground trade	the underground trade	3
Illinois Company Investments had been trimming its ranks until last summer	its ranks	Civil suits against planners by clients seeking recovery of funds are increasingly common	recovery of funds	7
But Mexico urgently needs more help	more help	But there are grounds for complaint	grounds for complaint	3
But even a little appeal has a lot of attraction these days	a lot of attraction	Big withdrawals from the junk funds have continued this month	this month	8
The entire opera is her dream	her dream	The issue here may be the soundness of the guarantee	the soundness of the guarantee	5
Sun posted a gain	a gain	Enfield is a holding company with interests in manufacturing concerns	a holding company with interests in manufacturing concerns	2
Big financial stocks carried the day	the day	The worriers cite some worrisome trends	some worrisome trends	3
Recruiter Donald Clark does note an increase in searches for minority candidates	an increase in searches for minority candidates	The legal fight was the subject of a Wall Street Journal story yesterday	the subject of a Wall Street Journal story yesterday	4
The team then proposed modifications in their work process to management	modifications in their work process	Children from the community will have worthier role models than the drug kingpins	worthier role models than the drug kingpins	6
But junk bonds took more hits	more hits	The completion of the merger agreement follows months of twists and turns	months of twists and turns	7
Slowing economies in some areas limit student choice	student choice	But there was one bright spot yesterday	one bright spot	3
All three new models are outselling their predecessors by wide margins	their predecessors	This creates several problems	several problems	2
It made my shoelaces dance with terror	my shoelaces	But the Rockefeller investment is its largest	its largest	5
Estimated volume was three million ounces	three million ounces	Wilfred closed its Massachusetts schools earlier this year	its Massachusetts schools	2
Some economists expect further declines in investment spending	further declines in investment spending	Rumors of Soviet interest also pushed up the prices of soybean futures contracts	the prices of soybean futures contracts	7
This is football country	football country	The announcement fueled speculation for future advances in the shares	speculation for future advances in the shares	3
The collapse of the span has provoked surprise and anger among state officials	surprise and anger among state officials	The reputed wealth of the Unification Church is another matter of contention	another matter of contention	8
They promised yet more for really good stuff	yet more for really good stuff	Bond prices posted strong gains as investors went on a bargain hunt	strong gains	3
The politician appearing is highly controversial and has recently generated a good deal of rancor amid certain groups	a good deal of rancor amid certain groups	Geraldo or Phil would probably pull up another camera and interview the chained protesters	another camera	7
And Oranjemund boasts attractions besides diamonds	attractions besides diamonds	Conversation was subdued as most patrons watched the latest market statistics on television	the latest market statistics	7
That structural lack is crucial because investors are the only source of market liquidity	the only source of market liquidity	Some components of the American church had their budgets cut in half last year and again this year	last year and again this year	12
Jacobs is an international engineering and construction concern	an international engineering and construction concern	The new rules will allow investors to buy foreign stocks directly	foreign stocks	8
One ad features a huge robot carrying a voluptuous woman in a faint	a huge robot carrying a voluptuous woman in a faint	Sears is also stepping up its television ads and changing its message	its television ads	5
Futures prices showed modest changes in light trading volume	modest changes	One such company is Bankers Trust Co	Bankers Trust Co	4
It has some of the highest costs in the league	some of the highest costs in the league	There was tremendous public enthusiasm for stock mutual funds	tremendous public enthusiasm for stock mutual funds	2
The company could command a good price in the market	a good price	Their effort has received a lukewarm response from the Justice Department	a lukewarm response	4
He reset opening arguments for today	opening arguments	Yet some funds have pulled in their horns	their horns	6
Conversation was subdued as most patrons watched the latest market statistics on television	the latest market statistics	Illinois Company Investments had been trimming its ranks until last summer	its ranks	6
Right away you notice the following things about a Philip Glass concert	the following things about a Philip Glass concert	Advertisers attribute this shared loyalty to the striking similarity among brands	this shared loyalty	2
New York stocks recovered some of their losses after the London market closed	some of their losses	It was an audacious claim	an audacious claim	2
Your paper needs a serious reality check	a serious reality check	Estimated volume was a light two million ounces	a light two million ounces	3
The key here is the ambition of state Attorney General John Van de Kamp	the ambition of state Attorney General John Van de Kamp	Civil suits against planners by clients seeking recovery of funds are increasingly common	recovery of funds	7
During the Reagan years he expanded his business and intelligence contacts with the Cubans and the Sandinistas	his business and intelligence contacts with the Cubans and the Sandinistas	It has some of the highest costs in the league	some of the highest costs in the league	2
El Paso owns and operates a petroleum refinery	a petroleum refinery	Connaught is a biotechnology research and vaccine manufacturing concern	a biotechnology research and vaccine manufacturing concern	2
Successful American business owners do the same thing	the same thing	James Earl Jones and Mario Van Peebles carry out a bitter intergenerational dialogue between two black men	a bitter intergenerational dialogue between two black men	9
The above represents a triumph of either apathy or civility	a triumph of either apathy or civility	An additional benefit is the creation of jobs	the creation of jobs	4
Judges Oakes and Leval understand the requirements of historical scholarship	the requirements of historical scholarship	Dow Jones is the publisher of The Wall Street Journal	the publisher of The Wall Street Journal	3
Some economists expect further declines in investment spending	further declines in investment spending	Congressmen raised the issue yesterday at a hearing	the issue	2
The original owners happily repaid the claim and took their kylix home	the claim	The Allianz statement also reinforced the belief that the takeover battle could be a long one	the belief that the takeover battle could be a long one	5
The rise matches that of the Dow Jones industrials this year	that of the Dow Jones industrials this year	The bill also elevates even minor rule infractions to felonies and provides for recovery of punitive damages in civil lawsuits and arbitration cases without any showing of willful misconduct	even minor rule infractions	4
People start their own businesses for many reasons	their own businesses	Institutional buyers were the main force pushing blue chips higher	the main force pushing blue chips higher	3
Giant has interests in cement making and newsprint	interests in cement making and newsprint	Shareholders will also receive one cent per share for the redemption of preferred stock purchase rights	one cent per share	4
There is a small Renoir on the wall	a small Renoir	Senator Byrd is chairman of the Appropriations Committee	chairman of the Appropriations Committee	3
Other companies are introducing related products	related products	Repeat customers also can purchase luxury items at reduced prices	luxury items	5
And they are a very odd team in any case	a very odd team	The company paid five cents a share in April	five cents a share	3
The excess supply pushed gasoline prices down in that period	gasoline prices	The reputed wealth of the Unification Church is another matter of contention	another matter of contention	8
October is a critical month for the privatization program	a critical month	Some lagging competitors even may leave the personal computer business altogether	the personal computer business	6
All of the bidders contemplate full payment including interest to secured creditors	full payment including interest to secured creditors	Estimated volume was a heavy seven million ounces	a heavy seven million ounces	3
He expects the price for that product to rise even more next year	next year	The trial of the case lasted seven months and ended in September with a hung jury	seven months	6
Civil suits against planners by clients seeking recovery of funds are increasingly common	recovery of funds	Only for yardwork and home maintenance did women do less than half	less than half	9
It advised the National Football League in its largely successful defense of antitrust charges by the United States Football League	the National Football League	And they are a very odd team in any case	a very odd team	3
There are few factories and no mines	few factories and no mines	The legal fight was the subject of a Wall Street Journal story yesterday	the subject of a Wall Street Journal story yesterday	4
There were many more	many more	The company is facing a takeover proposal from the financier Sir James Goldsmith	a takeover proposal from the financier Sir James Goldsmith	4
We put some orders together	some orders	The finance unit attributed the decline to higher borrowing costs compared with a year earlier	the decline	4
The Navy is ordering displays for its Aegis cruisers and the Army wants smaller versions for its Abrams battle tanks	smaller versions for its Abrams battle tanks	Some machines make charts for presentations	charts for presentations	3
Market Data Retrieval is a compiler of educational information and provides related services	a compiler of educational information	Mervin Lung remains chairman and chief executive officer	chairman and chief executive officer	3
And she has this inexhaustible energy	this inexhaustible energy	The House Energy Committee will debate the issue later this month	the issue	6
An analyst cited weaker capital spending and exports	weaker capital spending and exports	One concerns Japanese investors	Japanese investors	2
It may experience an upswing or two in between	an upswing or two	The tribe is one of the poorest in the Pacific Northwest	one of the poorest in the Pacific Northwest	3
The sale of a portion of refining and marketing operations to Saudi Arabia helped alleviate the decline in earnings from that business	the decline in earnings from that business	Civil suits against planners by clients seeking recovery of funds are increasingly common	recovery of funds	7
Japan is a major target for the Soviets	a major target for the Soviets	Telerate provides information about financial markets through an electronic network	information about financial markets	2
That brought a chain reaction in the industry	a chain reaction in the industry	The guide scoops into a pail and puts a frantically wiggling croaker on the hook	a frantically wiggling croaker	8
Eventually little French farmers and their little French farmwives came out of their stone houses and put their hands above their tiny eyes and squinted at us	their hands	Randy Delchamps retains his position as president	his position as president	3
The trial of the case lasted seven months and ended in September with a hung jury	seven months	Jacobs is an international engineering and construction concern	an international engineering and construction concern	2
Dow Jones is the publisher of The Wall Street Journal	the publisher of The Wall Street Journal	Never once did she gasp for air or mop her brow	her brow	9
They trotted out another crop of instant commercials after the sudden market dip a few weeks ago	another crop of instant commercials	Some economists expect further declines in investment spending	further declines in investment spending	3
The association between the two companies stretches back thirty years to a friendship between television producer Mark Goodson and Ingersoll founder Ralph Ingersoll	thirty years	East Bloc pollution data typically have been state secrets	state secrets	7
No one in his right mind actually believes that we all have an equal academic potential	an equal academic potential	Preparedness involves more than flashlights and fire alarms these days	more than flashlights and fire alarms	2
The precious metals sector outgained other Dow Jones industry groups by a wide margin for the second consecutive session	other Dow Jones industry groups	Baskets of roses and potted palms adorned his bench	his bench	7
The excess supply pushed gasoline prices down in that period	gasoline prices	The number of issues falling on the New York Stock Exchange each day is eclipsing the number of gainers	each day	11
Uncertainty dogs every aspect of their lives	every aspect of their lives	The same factors limiting demand for office space have affected retailing	demand for office space	4
Ashland had a loss	a loss	Estimated volume was five million ounces	five million ounces	3
Enfield is a holding company with interests in manufacturing concerns	a holding company with interests in manufacturing concerns	She had an idea	an idea	2
